"Feature_Idx","Frequency","Feature"
46,2064,"M4"
57,1718,"P4"
20,1676,"E19"
60,1672,"P7"
66,1649,"S2"
56,1646,"P3"
53,1571,"P12"
68,1526,"S5"
45,1523,"M3"
77,1504,"V3"
58,1478,"P5"
54,1452,"P13"
41,1424,"M15"
59,1419,"P6"
69,1370,"S6"
75,1358,"V13"
79,1357,"V5"
51,1327,"P10"
81,1325,"V7"
47,1322,"M7"
38,1304,"M10"
49,1286,"M9"
78,1280,"V4"
39,1274,"M11"
40,1244,"M12"
35,1238,"I7"
52,1237,"P11"
76,1232,"V2"
30,1230,"I2"
29,1228,"I1"
61,1219,"P8"
70,1215,"S7"
50,1214,"P1"
34,1211,"I6"
23,1199,"E3"
27,1184,"E8"
32,1183,"I4"
48,1182,"M8"
16,1175,"E15"
71,1170,"S9"
24,1165,"E4"
31,1158,"I3"
19,1154,"E18"
63,1153,"S1"
21,1150,"E2"
15,1149,"E14"
55,1143,"P2"
12,1137,"E11"
67,1133,"S4"
18,1126,"E17"
14,1121,"E13"
17,1113,"E16"
26,1111,"E6"
28,1098,"E9"
44,1093,"M18"
25,1092,"E5"
62,1091,"P9"
43,1089,"M17"
22,1065,"E20"
64,1065,"S10"
65,1065,"S11"
36,1062,"I8"
13,1054,"E12"
37,1023,"I9"
11,993,"E10"
33,967,"I5"
10,914,"E1"
72,558,"V1"
80,550,"V6"
74,500,"V12"
82,417,"V8"
73,296,"V11"
42,237,"M16"
7,166,"D7"
5,152,"D5"
6,149,"D6"
9,147,"D9"
8,141,"D8"
3,118,"D3"
1,100,"D1"
4,84,"D4"
2,82,"D2"
