"Feature","Frequency"
"M4",0.135390562996536
"S2",0.0742312475791282
"P5",0.0494751350993127
"V13",0.0420498903014588
"I2",0.0408016788508861
"P3",0.0399992430106192
"S5",0.0316912588146083
"S6",0.0278386498315366
"M15",0.0272384342973038
"P7",0.0260690740255205
"M18",0.0255529917055131
"E11",0.0230561117746259
"E14",0.021981051370773
"E13",0.0205812090130664
"M3",0.0204268738627561
"V4",0.0204164597265425
"I7",0.0196181064444443
"E10",0.0187300886237347
"S4",0.0186002578546449
"E9",0.0182140785613939
"E5",0.0172156148971292
"P11",0.0167662535001134
"P9",0.0164206215965326
"M9",0.0161396368209092
"P6",0.0155686404806493
"E3",0.0147381731818059
"P10",0.0146930283980917
"V7",0.0136671375299883
"E19",0.0112283383115968
"V5",0.0109851343602296
"S7",0.0102851056980971
"P12",0.0102316494762704
"E2",0.010198254692383
"I1",0.00983316289593834
"E1",0.00949199290327649
"S9",0.00927988684521652
"M8",0.00887103851547924
"I6",0.00881162193937044
"V12",0.00864871702978918
"E16",0.00834663030582599
"E6",0.00773701495237607
"E17",0.00751439088770668
"E18",0.00748680832988459
"P4",0.00739225059240617
"V3",0.00688421371197567
"E20",0.00679156312528779
"E4",0.00590479716865378
"P1",0.00323816952714861
"P13",0.00320401694098157
"M7",0.00046373164048132
